overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
103,Cam Skattebo (14),Cam Skattebo,14,RB35,RB,NYG,96 (8.12),8.12,106 (9.10),9.10,120 (10.12),10.12
104,Jayden Reed (5),Jayden Reed,5,WR49,WR,GB,91 (8.7),8.7,107 (9.11),9.11,124 (11.4),11.4
105,Braelon Allen (9),Braelon Allen,9,RB36,RB,NYJ,100 (9.4),9.4,107 (9.11),9.11,119 (10.11),10.11
106,Joe Mixon (6),Joe Mixon,6,RB37,RB,HOU,93 (8.9),8.9,108 (9.12),9.12,126 (11.6),11.6
107,Javonte Williams (10),Javonte Williams,10,RB38,RB,DAL,95 (8.11),8.11,108 (9.12),9.12,119 (10.11),10.11
108,Bo Nix (12),Bo Nix,12,QB7,QB,DEN,86 (8.2),8.2,108 (9.12),9.12,144 (12.12),12.12
109,Chris Godwin (9),Chris Godwin,9,WR50,WR,TB,82 (7.10),7.10,109 (10.1),10.1,139 (12.7),12.7
110,Jaydon Blue (10),Jaydon Blue,10,RB39,RB,DAL,95 (8.11),8.11,109 (10.1),10.1,122 (11.2),11.2
111,Dallas Goedert (9),Dallas Goedert,9,TE15,TE,PHI,98 (9.2),9.2,111 (10.3),10.3,126 (11.6),11.6
112,Bhayshul Tuten (8),Bhayshul Tuten,8,RB40,RB,JAC,95 (8.11),8.11,112 (10.4),10.4,126 (11.6),11.6
113,Kyle Pitts (5),Kyle Pitts,5,TE16,TE,ATL,97 (9.1),9.1,113 (10.5),10.5,132 (11.12),11.12
114,Baker Mayfield (9),Baker Mayfield,9,QB8,QB,TB,90 (8.6),8.6,116 (10.8),10.8,136 (12.4),12.4
115,Quinshon Judkins (9),Quinshon Judkins,9,RB41,RB,CLE,95 (8.11),8.11,117 (10.9),10.9,131 (11.11),11.11
116,Jayden Higgins (6),Jayden Higgins,6,WR51,WR,HOU,109 (10.1),10.1,118 (10.10),10.10,146 (13.2),13.2
117,Trey Benson (8),Trey Benson,8,RB42,RB,ARI,99 (9.3),9.3,118 (10.10),10.10,135 (12.3),12.3
118,Christian Kirk (6),Christian Kirk,6,WR52,WR,HOU,101 (9.5),9.5,118 (10.10),10.10,137 (12.5),12.5
119,Austin Ekeler (12),Austin Ekeler,12,RB43,RB,WAS,98 (9.2),9.2,119 (10.11),10.11,130 (11.10),11.10
120,Dak Prescott (10),Dak Prescott,10,QB9,QB,DAL,79 (7.7),7.7,120 (10.12),10.12,143 (12.11),12.11
121,Tank Bigsby (8),Tank Bigsby,8,RB44,RB,JAC,105 (9.9),9.9,121 (11.1),11.1,133 (12.1),12.1
122,Luther Burden (5),Luther Burden,5,WR53,WR,CHI,98 (9.2),9.2,121 (11.1),11.1,146 (13.2),13.2
123,Rashid Shaheed (11),Rashid Shaheed,11,WR54,WR,NO,96 (8.12),8.12,121 (11.1),11.1,135 (12.3),12.3
124,Rhamondre Stevenson (14),Rhamondre Stevenson,14,RB45,RB,NE,105 (9.9),9.9,122 (11.2),11.2,141 (12.9),12.9
125,Darnell Mooney (5),Darnell Mooney,5,WR55,WR,ATL,111 (10.3),10.3,123 (11.3),11.3,136 (12.4),12.4
126,Kyler Murray (8),Kyler Murray,8,QB10,QB,ARI,106 (9.10),9.10,126 (11.6),11.6,161 (14.5),14.5
127,Dylan Sampson (9),Dylan Sampson,9,RB46,RB,CLE,106 (9.10),9.10,127 (11.7),11.7,143 (12.11),12.11
128,Keenan Allen (12),Keenan Allen,12,WR56,WR,LAC,107 (9.11),9.11,128 (11.8),11.8,155 (13.11),13.11
129,Brenton Strange (8),Brenton Strange,8,TE17,TE,JAC,113 (10.5),10.5,128 (11.8),11.8,159 (14.3),14.3
130,Zach Ertz (12),Zach Ertz,12,TE18,TE,WAS,109 (10.1),10.1,131 (11.11),11.11,153 (13.9),13.9
131,Tyjae Spears (10),Tyjae Spears,10,RB47,RB,TEN,120 (10.12),10.12,133 (12.1),12.1,148 (13.4),13.4
132,Marvin Mims (12),Marvin Mims,12,WR57,WR,DEN,121 (11.1),11.1,134 (12.2),12.2,142 (12.10),12.10
133,Tyler Allgeier (5),Tyler Allgeier,5,RB48,RB,ATL,109 (10.1),10.1,136 (12.4),12.4,154 (13.10),13.10
134,Ray Davis (7),Ray Davis,7,RB49,RB,BUF,123 (11.3),11.3,137 (12.5),12.5,155 (13.11),13.11
135,Brian Robinson (14),Brian Robinson,14,RB50,RB,WAS,109 (10.1),10.1,137 (12.5),12.5,166 (14.10),14.10
136,Brock Purdy (14),Brock Purdy,14,QB11,QB,SF,110 (10.2),10.2,138 (12.6),12.6,166 (14.10),14.10
