overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
140,Dylan Sampson (9),Dylan Sampson,9,RB51,RB,CLE,110 (10.2),10.2,141 (12.9),12.9,191 (16.11),16.11
141,Tyler Allgeier (5),Tyler Allgeier,5,RB52,RB,ATL,118 (10.10),10.10,142 (12.10),12.10,164 (14.8),14.8
142,Zach Ertz (12),Zach Ertz,12,TE20,TE,WAS,85 (8.1),8.1,144 (12.12),12.12,189 (16.9),16.9
143,Hollywood Brown (10),Hollywood Brown,10,WR58,WR,KC,101 (9.5),9.5,144 (12.12),12.12,207 (18.3),18.3
144,Braelon Allen (9),Braelon Allen,9,RB53,RB,NYJ,117 (10.9),10.9,145 (13.1),13.1,176 (15.8),15.8
145,Hunter Henry (14),Hunter Henry,14,TE21,TE,NE,103 (9.7),9.7,145 (13.1),13.1,190 (16.10),16.10
146,Roschon Johnson (5),Roschon Johnson,5,RB54,RB,CHI,125 (11.5),11.5,145 (13.1),13.1,189 (16.9),16.9
147,Drake Maye (14),Drake Maye,14,QB14,QB,NE,103 (9.7),9.7,146 (13.2),13.2,184 (16.4),16.4
148,Kyle Williams (14),Kyle Williams,14,WR59,WR,NE,119 (10.11),10.11,148 (13.4),13.4,189 (16.9),16.9
149,Marvin Mims (12),Marvin Mims,12,WR60,WR,DEN,113 (10.5),10.5,148 (13.4),13.4,187 (16.7),16.7
150,Cedric Tillman (9),Cedric Tillman,9,WR61,WR,CLE,115 (10.7),10.7,149 (13.5),13.5,186 (16.6),16.6
151,Jarquez Hunter (8),Jarquez Hunter,8,RB55,RB,LAR,124 (11.4),11.4,152 (13.8),13.8,203 (17.11),17.11
152,Rashod Bateman (7),Rashod Bateman,7,WR62,WR,BAL,118 (10.10),10.10,153 (13.9),13.9,190 (16.10),16.10
153,Nick Chubb (6),Nick Chubb,6,RB56,RB,HOU,87 (8.3),8.3,157 (14.1),14.1,192 (16.12),16.12
154,Jared Goff (8),Jared Goff,8,QB15,QB,DET,75 (7.3),7.3,157 (14.1),14.1,200 (17.8),17.8
155,Mason Taylor (9),Mason Taylor,9,TE22,TE,NYJ,117 (10.9),10.9,157 (14.1),14.1,201 (17.9),17.9
156,Jerome Ford (9),Jerome Ford,9,RB57,RB,CLE,114 (10.6),10.6,158 (14.2),14.2,236 (20.8),20.8
157,MarShawn Lloyd (5),MarShawn Lloyd,5,RB58,RB,GB,134 (12.2),12.2,158 (14.2),14.2,215 (18.11),18.11
158,Brashard Smith (10),Brashard Smith,10,RB59,RB,KC,132 (11.12),11.12,159 (14.3),14.3,189 (16.9),16.9
159,Justin Herbert (12),Justin Herbert,12,QB16,QB,LAC,117 (10.9),10.9,159 (14.3),14.3,201 (17.9),17.9
160,Brandon Aubrey (10),Brandon Aubrey,10,PK1,PK,DAL,123 (11.3),11.3,159 (14.3),14.3,188 (16.8),16.8
161,J.J. McCarthy (6),J.J. McCarthy,6,QB17,QB,MIN,126 (11.6),11.6,161 (14.5),14.5,215 (18.11),18.11
162,Mike Gesicki (10),Mike Gesicki,10,TE23,TE,CIN,121 (11.1),11.1,161 (14.5),14.5,226 (19.10),19.10
163,DEN Team Defense (12),DEN Team Defense,12,DF1,DF,DEN,127 (11.7),11.7,162 (14.6),14.6,198 (17.6),17.6
164,Rico Dowdle (14),Rico Dowdle,14,RB60,RB,CAR,97 (9.1),9.1,162 (14.6),14.6,209 (18.5),18.5
165,Will Shipley (9),Will Shipley,9,RB61,RB,PHI,138 (12.6),12.6,167 (14.11),14.11,207 (18.3),18.3
166,Alexander Mattison (12),Alexander Mattison,12,RB62,RB,MIA,167 (14.11),14.11,167 (14.11),14.11,167 (14.11),14.11
167,Trevor Lawrence (8),Trevor Lawrence,8,QB18,QB,JAC,124 (11.4),11.4,170 (15.2),15.2,210 (18.6),18.6
168,Wan’Dale Robinson (14),Wan’Dale Robinson,14,WR63,WR,NYG,116 (10.8),10.8,170 (15.2),15.2,216 (18.12),18.12
169,Jordan Love (5),Jordan Love,5,QB19,QB,GB,124 (11.4),11.4,172 (15.4),15.4,219 (19.3),19.3
170,C.J. Stroud (6),C.J. Stroud,6,QB20,QB,HOU,136 (12.4),12.4,173 (15.5),15.5,213 (18.9),18.9
171,Chig Okonkwo (10),Chig Okonkwo,10,TE24,TE,TEN,137 (12.5),12.5,173 (15.5),15.5,216 (18.12),18.12
172,DJ Giddens (11),DJ Giddens,11,RB63,RB,IND,144 (12.12),12.12,174 (15.6),15.6,218 (19.2),19.2
173,Quentin Johnston (12),Quentin Johnston,12,WR64,WR,LAC,120 (10.12),10.12,175 (15.7),15.7,236 (20.8),20.8
174,Adam Thielen (14),Adam Thielen,14,WR65,WR,CAR,121 (11.1),11.1,175 (15.7),15.7,216 (18.12),18.12
175,Pat Bryant (12),Pat Bryant,12,WR66,WR,DEN,130 (11.10),11.10,176 (15.8),15.8,220 (19.4),19.4
176,Cade Otton (9),Cade Otton,9,TE25,TE,TB,132 (11.12),11.12,179 (15.11),15.11,236 (20.8),20.8
177,Jack Bech (8),Jack Bech,8,WR67,WR,LV,140 (12.8),12.8,179 (15.11),15.11,225 (19.9),19.9
178,Jacory Croskey-Merritt (12),Jacory Croskey-Merritt,12,RB64,RB,WAS,137 (12.5),12.5,179 (15.11),15.11,239 (20.11),20.11
179,Blake Corum (8),Blake Corum,8,RB65,RB,LAR,138 (12.6),12.6,179 (15.11),15.11,218 (19.2),19.2
180,DeMario Douglas (14),DeMario Douglas,14,WR68,WR,NE,97 (9.1),9.1,181 (16.1),16.1,236 (20.8),20.8
181,Jalen McMillan (9),Jalen McMillan,9,WR69,WR,TB,135 (12.3),12.3,181 (16.1),16.1,236 (20.8),20.8
182,Xavier Legette (14),Xavier Legette,14,WR70,WR,CAR,141 (12.9),12.9,183 (16.3),16.3,239 (20.11),20.11
183,Miles Sanders (10),Miles Sanders,10,RB66,RB,DAL,117 (10.9),10.9,183 (16.3),16.3,238 (20.10),20.10
184,Tahj Brooks (10),Tahj Brooks,10,RB67,RB,CIN,146 (13.2),13.2,184 (16.4),16.4,225 (19.9),19.9
185,BAL Team Defense (7),BAL Team Defense,7,DF2,DF,BAL,145 (13.1),13.1,184 (16.4),16.4,222 (19.6),19.6
186,PHI Team Defense (9),PHI Team Defense,9,DF3,DF,PHI,130 (11.10),11.10,185 (16.5),16.5,216 (18.12),18.12
187,Darren Waller (12),Darren Waller,12,TE26,TE,MIA,138 (12.6),12.6,186 (16.6),16.6,240 (20.12),20.12
188,Elijah Arroyo (8),Elijah Arroyo,8,TE27,TE,SEA,123 (11.3),11.3,187 (16.7),16.7,240 (20.12),20.12
189,Justice Hill (7),Justice Hill,7,RB68,RB,BAL,149 (13.5),13.5,189 (16.9),16.9,240 (20.12),20.12
190,Pat Freiermuth (5),Pat Freiermuth,5,TE28,TE,PIT,125 (11.5),11.5,189 (16.9),16.9,238 (20.10),20.10
191,Keaton Mitchell (7),Keaton Mitchell,7,RB69,RB,BAL,138 (12.6),12.6,190 (16.10),16.10,237 (20.9),20.9
192,Kareem Hunt (10),Kareem Hunt,10,RB70,RB,KC,137 (12.5),12.5,191 (16.11),16.11,237 (20.9),20.9
193,PIT Team Defense (5),PIT Team Defense,5,DF4,DF,PIT,151 (13.7),13.7,191 (16.11),16.11,219 (19.3),19.3
194,Romeo Doubs (5),Romeo Doubs,5,WR71,WR,GB,142 (12.10),12.10,193 (17.1),17.1,240 (20.12),20.12
195,Keenan Allen (-),Keenan Allen,-,WR72,WR,FA,140 (12.8),12.8,195 (17.3),17.3,240 (20.12),20.12
196,Cameron Dicker (12),Cameron Dicker,12,PK2,PK,LAC,151 (13.7),13.7,197 (17.5),17.5,222 (19.6),19.6
197,Theo Johnson (14),Theo Johnson,14,TE29,TE,NYG,137 (12.5),12.5,197 (17.5),17.5,240 (20.12),20.12
198,Joshua Palmer (7),Joshua Palmer,7,WR73,WR,BUF,148 (13.4),13.4,198 (17.6),17.6,238 (20.10),20.10
199,Terrance Ferguson (8),Terrance Ferguson,8,TE30,TE,LAR,147 (13.3),13.3,198 (17.6),17.6,235 (20.7),20.7
200,Michael Penix (5),Michael Penix,5,QB21,QB,ATL,158 (14.2),14.2,199 (17.7),17.7,240 (20.12),20.12
201,HOU Team Defense (6),HOU Team Defense,6,DF5,DF,HOU,160 (14.4),14.4,199 (17.7),17.7,239 (20.11),20.11
202,Woody Marks (6),Woody Marks,6,RB71,RB,HOU,152 (13.8),13.8,199 (17.7),17.7,240 (20.12),20.12
203,Dont’e Thornton (8),Dont’e Thornton,8,WR74,WR,LV,138 (12.6),12.6,200 (17.8),17.8,240 (20.12),20.12
204,Matthew Stafford (8),Matthew Stafford,8,QB22,QB,LAR,144 (12.12),12.12,201 (17.9),17.9,240 (20.12),20.12
205,Kyle Monangai (5),Kyle Monangai,5,RB72,RB,CHI,147 (13.3),13.3,201 (17.9),17.9,239 (20.11),20.11
206,Kendre Miller (11),Kendre Miller,11,RB73,RB,NO,155 (13.11),13.11,203 (17.11),17.11,240 (20.12),20.12
207,MIN Team Defense (6),MIN Team Defense,6,DF6,DF,MIN,149 (13.5),13.5,204 (17.12),17.12,239 (20.11),20.11
208,Dontayvion Wicks (5),Dontayvion Wicks,5,WR75,WR,GB,156 (13.12),13.12,204 (17.12),17.12,234 (20.6),20.6
209,Samaje Perine (10),Samaje Perine,10,RB74,RB,CIN,204 (17.12),17.12,204 (17.12),17.12,204 (17.12),17.12
210,Tua Tagovailoa (12),Tua Tagovailoa,12,QB23,QB,MIA,153 (13.9),13.9,205 (18.1),18.1,240 (20.12),20.12
211,Jordan Whittington (8),Jordan Whittington,8,WR76,WR,LAR,175 (15.7),15.7,205 (18.1),18.1,235 (20.7),20.7
212,Jordan Watkins (14),Jordan Watkins,14,WR77,WR,SF,190 (16.10),16.10,205 (18.1),18.1,231 (20.3),20.3
213,Devin Neal (11),Devin Neal,11,RB75,RB,NO,150 (13.6),13.6,206 (18.2),18.2,239 (20.11),20.11
214,Jordan James (14),Jordan James,14,RB76,RB,SF,152 (13.8),13.8,206 (18.2),18.2,240 (20.12),20.12
215,Juwan Johnson (11),Juwan Johnson,11,TE31,TE,NO,152 (13.8),13.8,207 (18.3),18.3,239 (20.11),20.11
216,Jake Bates (8),Jake Bates,8,PK3,PK,DET,162 (14.6),14.6,208 (18.4),18.4,240 (20.12),20.12
217,Bryce Young (14),Bryce Young,14,QB24,QB,CAR,161 (14.5),14.5,208 (18.4),18.4,240 (20.12),20.12
218,Calvin Austin (5),Calvin Austin,5,WR78,WR,PIT,132 (11.12),11.12,208 (18.4),18.4,240 (20.12),20.12
219,Jaylin Noel (6),Jaylin Noel,6,WR79,WR,HOU,159 (14.3),14.3,208 (18.4),18.4,240 (20.12),20.12
220,BUF Team Defense (7),BUF Team Defense,7,DF7,DF,BUF,173 (15.5),15.5,209 (18.5),18.5,238 (20.10),20.10
221,Raheem Mostert (8),Raheem Mostert,8,RB77,RB,LV,147 (13.3),13.3,209 (18.5),18.5,240 (20.12),20.12
222,SF Team Defense (14),SF Team Defense,14,DF8,DF,SF,172 (15.4),15.4,210 (18.6),18.6,240 (20.12),20.12
223,Harold Fannin (9),Harold Fannin,9,TE32,TE,CLE,147 (13.3),13.3,210 (18.6),18.6,240 (20.12),20.12
224,Aaron Rodgers (5),Aaron Rodgers,5,QB25,QB,PIT,134 (12.2),12.2,210 (18.6),18.6,236 (20.8),20.8
225,Chris Brooks (5),Chris Brooks,5,RB78,RB,GB,210 (18.6),18.6,210 (18.6),18.6,210 (18.6),18.6
226,Elijah Mitchell (10),Elijah Mitchell,10,RB79,RB,KC,154 (13.10),13.10,211 (18.7),18.7,240 (20.12),20.12
227,Ja’Tavion Sanders (14),Ja’Tavion Sanders,14,TE33,TE,CAR,172 (15.4),15.4,211 (18.7),18.7,240 (20.12),20.12
228,Oronde Gadsden (12),Oronde Gadsden,12,TE34,TE,LAC,161 (14.5),14.5,211 (18.7),18.7,239 (20.11),20.11
229,Christian Watson (5),Christian Watson,5,WR80,WR,GB,140 (12.8),12.8,211 (18.7),18.7,234 (20.6),20.6
230,Jalen Royals (10),Jalen Royals,10,WR81,WR,KC,148 (13.4),13.4,212 (18.8),18.8,240 (20.12),20.12
231,Jalen Tolbert (10),Jalen Tolbert,10,WR82,WR,DAL,195 (17.3),17.3,212 (18.8),18.8,233 (20.5),20.5
232,Malik Washington (12),Malik Washington,12,WR83,WR,MIA,198 (17.6),17.6,212 (18.8),18.8,220 (19.4),19.4
233,Harrison Butker (10),Harrison Butker,10,PK4,PK,KC,178 (15.10),15.10,213 (18.9),18.9,238 (20.10),20.10
234,Trevor Etienne (14),Trevor Etienne,14,RB80,RB,CAR,171 (15.3),15.3,213 (18.9),18.9,240 (20.12),20.12
235,Cameron Ward (10),Cameron Ward,10,QB26,QB,TEN,145 (13.1),13.1,213 (18.9),18.9,240 (20.12),20.12
236,Dalton Schultz (6),Dalton Schultz,6,TE35,TE,HOU,177 (15.9),15.9,214 (18.10),18.10,240 (20.12),20.12
237,Anthony Richardson (11),Anthony Richardson,11,QB27,QB,IND,180 (15.12),15.12,214 (18.10),18.10,240 (20.12),20.12
238,Geno Smith (8),Geno Smith,8,QB28,QB,LV,185 (16.5),16.5,214 (18.10),18.10,234 (20.6),20.6
239,Devaughn Vele (12),Devaughn Vele,12,WR84,WR,DEN,180 (15.12),15.12,214 (18.10),18.10,237 (20.9),20.9
240,DeAndre Hopkins (7),DeAndre Hopkins,7,WR85,WR,BAL,161 (14.5),14.5,215 (18.11),18.11,240 (20.12),20.12
241,Elic Ayomanor (10),Elic Ayomanor,10,WR86,WR,TEN,181 (16.1),16.1,215 (18.11),18.11,239 (20.11),20.11
242,Andrei Iosivas (10),Andrei Iosivas,10,WR87,WR,CIN,169 (15.1),15.1,215 (18.11),18.11,240 (20.12),20.12
243,Zack Moss (10),Zack Moss,10,RB81,RB,CIN,152 (13.8),13.8,215 (18.11),18.11,240 (20.12),20.12
244,Ja’Corey Brooks (12),Ja’Corey Brooks,12,WR88,WR,WAS,214 (18.10),18.10,215 (18.11),18.11,216 (18.12),18.12
245,Tai Felton (6),Tai Felton,6,WR89,WR,MIN,215 (18.11),18.11,215 (18.11),18.11,215 (18.11),18.11
